District,Date,NumberOfCumulativeCases
Petaling,17/6/2020,436
SabakBernam,17/6/2020,30
Sepang,17/6/2020,145
Gombak,18/6/2020,256
HuluLangat,18/6/2020,640
HuluSelangor,18/6/2020,75
Klang,18/6/2020,187
KualaLangat,18/6/2020,63
KualaSelangor,18/6/2020,67
Petaling,18/6/2020,436
SabakBernam,18/6/2020,30
Sepang,18/6/2020,145
Gombak,19/6/2020,257
HuluLangat,19/6/2020,630
HuluSelangor,19/6/2020,75
Klang,19/6/2020,187
KualaLangat,19/6/2020,63
KualaSelangor,19/6/2020,67
Petaling,19/6/2020,436
SabakBernam,19/6/2020,30
Sepang,19/6/2020,145
Gombak,20/6/2020,257
HuluLangat,20/6/2020,630
HuluSelangor,20/6/2020,76
Klang,20/6/2020,189
KualaLangat,20/6/2020,64
KualaSelangor,20/6/2020,69
Petaling,20/6/2020,436
SabakBernam,20/6/2020,30
Sepang,20/6/2020,149
Gombak,21/6/2020,257
HuluLangat,21/6/2020,430
HuluSelangor,21/6/2020,76
Klang,21/6/2020,189
KualaLangat,21/6/2020,64
KualaSelangor,21/6/2020,69
Petaling,21/6/2020,436
SabakBernam,21/6/2020,30
Sepang,21/6/2020,151
Gombak,22/6/2020,257
HuluLangat,22/6/2020,630
HuluSelangor,22/6/2020,77
Klang,22/6/2020,189
KualaLangat,22/6/2020,64
KualaSelangor,22/6/2020,69
Petaling,22/6/2020,436
SabakBernam,22/6/2020,30
Sepang,22/6/2020,151
Gombak,23/6/2020,257
HuluLangat,23/6/2020,630
HuluSelangor,23/6/2020,77
Klang,23/6/2020,189
KualaLangat,23/6/2020,64
KualaSelangor,23/6/2020,69
Petaling,23/6/2020,436
SabakBernam,23/6/2020,30
Sepang,23/6/2020,151
Gombak,24/6/2020,258
HuluLangat,24/6/2020,631
HuluSelangor,24/6/2020,77
Klang,24/6/2020,190
KualaLangat,24/6/2020,64
KualaSelangor,24/6/2020,69
Petaling,24/6/2020,436
SabakBernam,24/6/2020,30
Sepang,24/6/2020,151
Gombak,25/6/2020,258
HuluLangat,25/6/2020,631
HuluSelangor,25/6/2020,77
Klang,25/6/2020,190
KualaLangat,25/6/2020,64
KualaSelangor,25/6/2020,69
Petaling,25/6/2020,436
SabakBernam,25/6/2020,30
Sepang,25/6/2020,151
Gombak,26/6/2020,258
HuluLangat,26/6/2020,631
HuluSelangor,26/6/2020,77
Klang,26/6/2020,190
KualaLangat,26/6/2020,64
KualaSelangor,26/6/2020,69
Petaling,26/6/2020,436
SabakBernam,26/6/2020,30
Sepang,26/6/2020,151
Gombak,27/6/2020,259
HuluLangat,27/6/2020,631
HuluSelangor,27/6/2020,77
Klang,27/6/2020,190
KualaLangat,27/6/2020,64
KualaSelangor,27/6/2020,69
Petaling,27/6/2020,436
SabakBernam,27/6/2020,30
Sepang,27/6/2020,151
Gombak,28/6/2020,259
HuluLangat,28/6/2020,631
HuluSelangor,28/6/2020,77
