State,Date,NumberofConfirmedCases
Sarawak,13/7/2020,1
Kuala Lumpur,13/7/2020,0
Putrajaya,13/7/2020,0
Labuan,13/7/2020,0
Perlis,14/7/2020,0
Kedah,14/7/2020,0
Pulau Pinang,14/7/2020,0
Perak,14/7/2020,0
Selangor,14/7/2020,1
Negeri Sembilan,14/7/2020,0
Melaka,14/7/2020,0
Johor,14/7/2020,2
Pahang,14/7/2020,0
Terengganu,14/7/2020,0
Kelantan,14/7/2020,0
Sabah,14/7/2020,0
Sarawak,14/7/2020,0
Kuala Lumpur,14/7/2020,1
Putrajaya,14/7/2020,0
Labuan,14/7/2020,0
Perlis,15/7/2020,0
Kedah,15/7/2020,0
Pulau Pinang,15/7/2020,0
Perak,15/7/2020,0
Selangor,15/7/2020,1
Negeri Sembilan,15/7/2020,0
Melaka,15/7/2020,0
Johor,15/7/2020,0
Pahang,15/7/2020,0
Terengganu,15/7/2020,0
Kelantan,15/7/2020,0
Sabah,15/7/2020,0
Sarawak,15/7/2020,3
Kuala Lumpur,15/7/2020,1
Putrajaya,15/7/2020,0
Labuan,15/7/2020,0
Perlis,16/7/2020,0
Kedah,16/7/2020,0
Pulau Pinang,16/7/2020,0
Perak,16/7/2020,0
Selangor,16/7/2020,0
Negeri Sembilan,16/7/2020,0
Melaka,16/7/2020,0
Johor,16/7/2020,0
Pahang,16/7/2020,0
Terengganu,16/7/2020,1
Kelantan,16/7/2020,0
Sabah,16/7/2020,0
Sarawak,16/7/2020,1
Kuala Lumpur,16/7/2020,1
Putrajaya,16/7/2020,0
Labuan,16/7/2020,0
Perlis,17/7/2020,0
Kedah,17/7/2020,0
Pulau Pinang,17/7/2020,0
Perak,17/7/2020,0
Selangor,17/7/2020,4
Negeri Sembilan,17/7/2020,0
Melaka,17/7/2020,0
Johor,17/7/2020,0
Pahang,17/7/2020,0
Terengganu,17/7/2020,2
Kelantan,17/7/2020,0
Sabah,17/7/2020,1
Sarawak,17/7/2020,10
Kuala Lumpur,17/7/2020,1
Putrajaya,17/7/2020,0
Labuan,17/7/2020,0
Perlis,18/7/2020,0
Kedah,18/7/2020,0
Pulau Pinang,18/7/2020,0
Perak,18/7/2020,0
Selangor,18/7/2020,1
Negeri Sembilan,18/7/2020,0
Melaka,18/7/2020,0
Johor,18/7/2020,0
Pahang,18/7/2020,0
Terengganu,18/7/2020,0
Kelantan,18/7/2020,1
Sabah,18/7/2020,0
Sarawak,18/7/2020,7
Kuala Lumpur,18/7/2020,0
Putrajaya,18/7/2020,0
Labuan,18/7/2020,0
Perlis,19/7/2020,0
Kedah,19/7/2020,0
Pulau Pinang,19/7/2020,0
Perak,19/7/2020,2
Selangor,19/7/2020,4
Negeri Sembilan,19/7/2020,0
Melaka,19/7/2020,0
Johor,19/7/2020,1
Pahang,19/7/2020,0
Terengganu,19/7/2020,0
Kelantan,19/7/2020,0
Sabah,19/7/2020,1
Sarawak,19/7/2020,6
Kuala Lumpur,19/7/2020,1
Putrajaya,19/7/2020,0
Labuan,19/7/2020,0
Perlis,20/7/2020,0
Kedah,20/7/2020,1
Pulau Pinang,20/7/2020,0
Perak,20/7/2020,0
Selangor,20/7/2020,4
Negeri Sembilan,20/7/2020,1
Melaka,20/7/2020,0
Johor,20/7/2020,14
Pahang,20/7/2020,0
Terengganu,20/7/2020,0
Kelantan,20/7/2020,0
Sabah,20/7/2020,0
Sarawak,20/7/2020,1
Kuala Lumpur,20/7/2020,0
Putrajaya,20/7/2020,0
Labuan,20/7/2020,0
Perlis,21/7/2020,0
Kedah,21/7/2020,0
Pulau Pinang,21/7/2020,0
Perak,21/7/2020,0
Selangor,21/7/2020,2
Negeri Sembilan,21/7/2020,0
Melaka,21/7/2020,0
Johor,21/7/2020,0
Pahang,21/7/2020,0
Terengganu,21/7/2020,0
Kelantan,21/7/2020,0
Sabah,21/7/2020,1
Sarawak,21/7/2020,11
Kuala Lumpur,21/7/2020,1
Putrajaya,21/7/2020,0
Labuan,21/7/2020,0
Perlis,22/7/2020,0
Kedah,22/7/2020,0
Pulau Pinang,22/7/2020,0
Perak,22/7/2020,1
Selangor,22/7/2020,3
Negeri Sembilan,22/7/2020,0
Melaka,22/7/2020,0
Johor,22/7/2020,1
Pahang,22/7/2020,0
Terengganu,22/7/2020,0
Kelantan,22/7/2020,0
Sabah,22/7/2020,0
Sarawak,22/7/2020,9
Kuala Lumpur,22/7/2020,2
Putrajaya,22/7/2020,0
Labuan,22/7/2020,0
Perlis,23/7/2020,0
Kedah,23/7/2020,0
Pulau Pinang,23/7/2020,0
Perak,23/7/2020,0
Selangor,23/7/2020,0
Negeri Sembilan,23/7/2020,0
Melaka,23/7/2020,0
Johor,23/7/2020,1
Pahang,23/7/2020,1
Terengganu,23/7/2020,0
Kelantan,23/7/2020,1
Sabah,23/7/2020,1
Sarawak,23/7/2020,4
Kuala Lumpur,23/7/2020,1
Putrajaya,23/7/2020,0
Labuan,23/7/2020,0
Perlis,24/7/2020,0
Kedah,24/7/2020,0
Pulau Pinang,24/7/2020,0
Perak,24/7/2020,1
Selangor,24/7/2020,3
Negeri Sembilan,24/7/2020,0
Melaka,24/7/2020,0
Johor,24/7/2020,2
Pahang,24/7/2020,3
Terengganu,24/7/2020,0
Kelantan,24/7/2020,0
Sabah,24/7/2020,0
Sarawak,24/7/2020,9
Kuala Lumpur,24/7/2020,3
Putrajaya,24/7/2020,0
Labuan,24/7/2020,0
Perlis,25/7/2020,0
Kedah,25/7/2020,0
Pulau Pinang,25/7/2020,0
Perak,25/7/2020,0
Selangor,25/7/2020,3
Negeri Sembilan,25/7/2020,0
Melaka,25/7/2020,0
Johor,25/7/2020,10
Pahang,25/7/2020,0
Terengganu,25/7/2020,0
Kelantan,25/7/2020,0
Sabah,25/7/2020,0
Sarawak,25/7/2020,8
Kuala Lumpur,25/7/2020,1
Putrajaya,25/7/2020,0
Labuan,25/7/2020,1
Perlis,26/7/2020,0
Kedah,26/7/2020,0
Pulau Pinang,26/7/2020,0
Perak,26/7/2020,0
Selangor,26/7/2020,0
Negeri Sembilan,26/7/2020,0
Melaka,26/7/2020,0
Johor,26/7/2020,7
Pahang,26/7/2020,1
Terengganu,26/7/2020,0
Kelantan,26/7/2020,1
Sabah,26/7/2020,1
Sarawak,26/7/2020,1
Kuala Lumpur,26/7/2020,2
Putrajaya,26/7/2020,0
Labuan,26/7/2020,0
Perlis,27/7/2020,0
Kedah,27/7/2020,0
Pulau Pinang,27/7/2020,0
Perak,27/7/2020,0
Selangor,27/7/2020,1
Negeri Sembilan,27/7/2020,0
Melaka,27/7/2020,0
Johor,27/7/2020,0
Pahang,27/7/2020,0
Terengganu,27/7/2020,0
Kelantan,27/7/2020,0
Sabah,27/7/2020,4
Sarawak,27/7/2020,0
Kuala Lumpur,27/7/2020,2
Putrajaya,27/7/2020,0
Labuan,27/7/2020,0
Perlis,28/7/2020,0
Kedah,28/7/2020,6
Pulau Pinang,28/7/2020,0
Perak,28/7/2020,0
Selangor,28/7/2020,0
Negeri Sembilan,28/7/2020,0
Melaka,28/7/2020,0
Johor,28/7/2020,0
Pahang,28/7/2020,0
Terengganu,28/7/2020,0
Kelantan,28/7/2020,0
Sabah,28/7/2020,3
Sarawak,28/7/2020,25
Kuala Lumpur,28/7/2020,4
Putrajaya,28/7/2020,0
Labuan,28/7/2020,1
Perlis,29/7/2020,1
Kedah,29/7/2020,0
Pulau Pinang,29/7/2020,0
Perak,29/7/2020,0
Selangor,29/7/2020,2
Negeri Sembilan,29/7/2020,0
Melaka,29/7/2020,0
Johor,29/7/2020,1
Pahang,29/7/2020,0
Terengganu,29/7/2020,0
Kelantan,29/7/2020,0
Sabah,29/7/2020,1
Sarawak,29/7/2020,2
Kuala Lumpur,29/7/2020,6
Putrajaya,29/7/2020,0
Labuan,29/7/2020,0
Perlis,30/7/2020,0
Kedah,30/7/2020,1
Pulau Pinang,30/7/2020,0
Perak,30/7/2020,0
Selangor,30/7/2020,1
Negeri Sembilan,30/7/2020,0
Melaka,30/7/2020,0
Johor,30/7/2020,1
Pahang,30/7/2020,0
Terengganu,30/7/2020,0
Kelantan,30/7/2020,0
Sabah,30/7/2020,4
Sarawak,30/7/2020,0
Kuala Lumpur,30/7/2020,1
Putrajaya,30/7/2020,0
Labuan,30/7/2020,0
Perlis,31/7/2020,0
Kedah,31/7/2020,2
Pulau Pinang,31/7/2020,0
Perak,31/7/2020,0
Selangor,31/7/2020,1
Negeri Sembilan,31/7/2020,1
Melaka,31/7/2020,0
Johor,31/7/2020,3
Pahang,31/7/2020,0
Terengganu,31/7/2020,0
Kelantan,31/7/2020,0
Sabah,31/7/2020,1
Sarawak,31/7/2020,1
Kuala Lumpur,31/7/2020,3
Putrajaya,31/7/2020,0
Labuan,31/7/2020,0
Perlis,1/8/2020,0
Kedah,1/8/2020,1
Pulau Pinang,1/8/2020,0
Perak,1/8/2020,2
Selangor,1/8/2020,6
Negeri Sembilan,1/8/2020,0
Melaka,1/8/2020,0
Johor,1/8/2020,0
Pahang,1/8/2020,0
Terengganu,1/8/2020,0
Kelantan,1/8/2020,0
Sabah,1/8/2020,0
Sarawak,1/8/2020,0
Kuala Lumpur,1/8/2020,0
Putrajaya,1/8/2020,0
Labuan,1/8/2020,0
Perlis,2/8/2020,0
Kedah,2/8/2020,11
Pulau Pinang,2/8/2020,0
Perak,2/8/2020,0
Selangor,2/8/2020,1
Negeri Sembilan,2/8/2020,0
Melaka,2/8/2020,0
Johor,2/8/2020,0
Pahang,2/8/2020,0
Terengganu,2/8/2020,0
Kelantan,2/8/2020,0
Sabah,2/8/2020,2
Sarawak,2/8/2020,0
Kuala Lumpur,2/8/2020,0
Putrajaya,2/8/2020,0
Labuan,2/8/2020,0
Perlis,3/8/2020,0
Kedah,3/8/2020,1
Pulau Pinang,3/8/2020,0
Perak,3/8/2020,0
Selangor,3/8/2020,0
Negeri Sembilan,3/8/2020,0
Melaka,3/8/2020,0
Johor,3/8/2020,0
Pahang,3/8/2020,0
Terengganu,3/8/2020,0
Kelantan,3/8/2020,0
Sabah,3/8/2020,0
Sarawak,3/8/2020,0
Kuala Lumpur,3/8/2020,0
Putrajaya,3/8/2020,0
Labuan,3/8/2020,1
Perlis,4/8/2020,1
Kedah,4/8/2020,0
Pulau Pinang,4/8/2020,0
Perak,4/8/2020,0
Selangor,4/8/2020,0
Negeri Sembilan,4/8/2020,0
Melaka,4/8/2020,0
Johor,4/8/2020,0
Pahang,4/8/2020,0
Terengganu,4/8/2020,0
Kelantan,4/8/2020,0
Sabah,4/8/2020,0
Sarawak,4/8/2020,0
Kuala Lumpur,4/8/2020,0
Putrajaya,4/8/2020,0
Labuan,4/8/2020,0
Perlis,5/8/2020,0
Kedah,5/8/2020,3
Pulau Pinang,5/8/2020,0
Perak,5/8/2020,0
Selangor,5/8/2020,0
Negeri Sembilan,5/8/2020,0
Melaka,5/8/2020,0
Johor,5/8/2020,1
Pahang,5/8/2020,0
Terengganu,5/8/2020,0
Kelantan,5/8/2020,0
Sabah,5/8/2020,2
Sarawak,5/8/2020,0
Kuala Lumpur,5/8/2020,15
Putrajaya,5/8/2020,0
Labuan,5/8/2020,0
Perlis,6/8/2020,0
Kedah,6/8/2020,6
Pulau Pinang,6/8/2020,0
Perak,6/8/2020,0
Selangor,6/8/2020,0
Negeri Sembilan,6/8/2020,2
Melaka,6/8/2020,0
Johor,6/8/2020,0
Pahang,6/8/2020,0
Terengganu,6/8/2020,0
Kelantan,6/8/2020,0
Sabah,6/8/2020,4
Sarawak,6/8/2020,0
Kuala Lumpur,6/8/2020,2
Putrajaya,6/8/2020,0
Labuan,6/8/2020,1
Perlis,7/8/2020,10
Kedah,7/8/2020,1
Pulau Pinang,7/8/2020,1
Perak,7/8/2020,2
Selangor,7/8/2020,2
Negeri Sembilan,7/8/2020,0
Melaka,7/8/2020,0
Johor,7/8/2020,1
Pahang,7/8/2020,0
Terengganu,7/8/2020,0
Kelantan,7/8/2020,0
Sabah,7/8/2020,4
Sarawak,7/8/2020,1
Kuala Lumpur,7/8/2020,3
Putrajaya,7/8/2020,0
Labuan,7/8/2020,0
Perlis,8/8/2020,0
Kedah,8/8/2020,0
Pulau Pinang,8/8/2020,0
Perak,8/8/2020,0
Selangor,8/8/2020,1
Negeri Sembilan,8/8/2020,1
Melaka,8/8/2020,0
Johor,8/8/2020,0
Pahang,8/8/2020,0
Terengganu,8/8/2020,0
Kelantan,8/8/2020,0
Sabah,8/8/2020,0
Sarawak,8/8/2020,1
Kuala Lumpur,8/8/2020,3
Putrajaya,8/8/2020,0
Labuan,8/8/2020,1
Perlis,9/8/2020,0
Kedah,9/8/2020,0
Pulau Pinang,9/8/2020,3
Perak,9/8/2020,0
Selangor,9/8/2020,1
Negeri Sembilan,9/8/2020,0
Melaka,9/8/2020,0
Johor,9/8/2020,0
Pahang,9/8/2020,0
Terengganu,9/8/2020,0
Kelantan,9/8/2020,0
Sabah,9/8/2020,0
Sarawak,9/8/2020,1
Kuala Lumpur,9/8/2020,7
Putrajaya,9/8/2020,1
Labuan,9/8/2020,0
Perlis,10/8/2020,0
Kedah,10/8/2020,0
Pulau Pinang,10/8/2020,0
Perak,10/8/2020,3
Selangor,10/8/2020,4
Negeri Sembilan,10/8/2020,0
Melaka,10/8/2020,1
Johor,10/8/2020,2
Pahang,10/8/2020,0
Terengganu,10/8/2020,0
Kelantan,10/8/2020,0
Sabah,10/8/2020,0
Sarawak,10/8/2020,0
Kuala Lumpur,10/8/2020,1
Putrajaya,10/8/2020,0
Labuan,10/8/2020,0
Perlis,11/8/2020,0
Kedah,11/8/2020,0
Pulau Pinang,11/8/2020,0
Perak,11/8/2020,0
Selangor,11/8/2020,1
Negeri Sembilan,11/8/2020,0
Melaka,11/8/2020,0
Johor,11/8/2020,1
Pahang,11/8/2020,0
Terengganu,11/8/2020,0
Kelantan,11/8/2020,0
Sabah,11/8/2020,1
Sarawak,11/8/2020,0
Kuala Lumpur,11/8/2020,6
Putrajaya,11/8/2020,0
Labuan,11/8/2020,0
Perlis,12/8/2020,0
Kedah,12/8/2020,2
Pulau Pinang,12/8/2020,0
Perak,12/8/2020,0
Selangor,12/8/2020,0
Negeri Sembilan,12/8/2020,0
Melaka,12/8/2020,0
Johor,12/8/2020,2
Pahang,12/8/2020,0
Terengganu,12/8/2020,0
Kelantan,12/8/2020,0
Sabah,12/8/2020,4
Sarawak,12/8/2020,0
Kuala Lumpur,12/8/2020,3
Putrajaya,12/8/2020,0
Labuan,12/8/2020,0
Perlis,13/8/2020,0
Kedah,13/8/2020,9
Pulau Pinang,13/8/2020,0
Perak,13/8/2020,0
Selangor,13/8/2020,3
Negeri Sembilan,13/8/2020,0
Melaka,13/8/2020,0
Johor,13/8/2020,0
Pahang,13/8/2020,0
Terengganu,13/8/2020,0
Kelantan,13/8/2020,0
Sabah,13/8/2020,0
Sarawak,13/8/2020,0
Kuala Lumpur,13/8/2020,3
Putrajaya,13/8/2020,0
Labuan,13/8/2020,0
Perlis,14/8/2020,0
Kedah,14/8/2020,12
Pulau Pinang,14/8/2020,1
Perak,14/8/2020,0
Selangor,14/8/2020,2
Negeri Sembilan,14/8/2020,0
Melaka,14/8/2020,0
Johor,14/8/2020,0
Pahang,14/8/2020,0
Terengganu,14/8/2020,0
Kelantan,14/8/2020,0
Sabah,14/8/2020,0
Sarawak,14/8/2020,1
Kuala Lumpur,14/8/2020,4
Putrajaya,14/8/2020,0
Labuan,14/8/2020,0
Perlis,15/8/2020,1
Kedah,15/8/2020,14
Pulau Pinang,15/8/2020,2
Perak,15/8/2020,0
Selangor,15/8/2020,0
Negeri Sembilan,15/8/2020,2
Melaka,15/8/2020,0
Johor,15/8/2020,1
Pahang,15/8/2020,0
Terengganu,15/8/2020,0
Kelantan,15/8/2020,0
Sabah,15/8/2020,0
Sarawak,15/8/2020,0
Kuala Lumpur,15/8/2020,6
Putrajaya,15/8/2020,0
Labuan,15/8/2020,0
Perlis,16/8/2020,0
Kedah,16/8/2020,5
Pulau Pinang,16/8/2020,1
Perak,16/8/2020,0
Selangor,16/8/2020,5
Negeri Sembilan,16/8/2020,0
Melaka,16/8/2020,0
Johor,16/8/2020,0
Pahang,16/8/2020,0
Terengganu,16/8/2020,0
Kelantan,16/8/2020,0
Sabah,16/8/2020,1
Sarawak,16/8/2020,0
Kuala Lumpur,16/8/2020,13
Putrajaya,16/8/2020,0
Labuan,16/8/2020,0
Perlis,17/8/2020,0
Kedah,17/8/2020,6
Pulau Pinang,17/8/2020,3
Perak,17/8/2020,0
Selangor,17/8/2020,1
Negeri Sembilan,17/8/2020,0
Melaka,17/8/2020,0
Johor,17/8/2020,0
Pahang,17/8/2020,0
Terengganu,17/8/2020,0
Kelantan,17/8/2020,0
Sabah,17/8/2020,0
Sarawak,17/8/2020,0
Kuala Lumpur,17/8/2020,2
Putrajaya,17/8/2020,0
Labuan,17/8/2020,0
Perlis,18/8/2020,0
Kedah,18/8/2020,3
Pulau Pinang,18/8/2020,0
Perak,18/8/2020,0
Selangor,18/8/2020,0
Negeri Sembilan,18/8/2020,0
Melaka,18/8/2020,0
Johor,18/8/2020,0
Pahang,18/8/2020,0
Terengganu,18/8/2020,0
Kelantan,18/8/2020,0
Sabah,18/8/2020,0
Sarawak,18/8/2020,0
Kuala Lumpur,18/8/2020,4
Putrajaya,18/8/2020,0
Labuan,18/8/2020,0
Perlis,19/8/2020,0
Kedah,19/8/2020,7
Pulau Pinang,19/8/2020,4
Perak,19/8/2020,0
Selangor,19/8/2020,0
Negeri Sembilan,19/8/2020,0
Melaka,19/8/2020,0
Johor,19/8/2020,1
Pahang,19/8/2020,0
Terengganu,19/8/2020,0
Kelantan,19/8/2020,0
Sabah,19/8/2020,0
Sarawak,19/8/2020,0
Kuala Lumpur,19/8/2020,3
Putrajaya,19/8/2020,0
Labuan,19/8/2020,1
Perlis,20/8/2020,0
Kedah,20/8/2020,0
Pulau Pinang,20/8/2020,0
Perak,20/8/2020,0
Selangor,20/8/2020,1
Negeri Sembilan,20/8/2020,0
Melaka,20/8/2020,0
Johor,20/8/2020,0
Pahang,20/8/2020,0
Terengganu,20/8/2020,0
Kelantan,20/8/2020,0
Sabah,20/8/2020,0
Sarawak,20/8/2020,4
Kuala Lumpur,20/8/2020,0
Putrajaya,20/8/2020,0
Labuan,20/8/2020,0
Perlis,21/8/2020,3
Kedah,21/8/2020,0
Pulau Pinang,21/8/2020,0
Perak,21/8/2020,2
Selangor,21/8/2020,0
Negeri Sembilan,21/8/2020,0
Melaka,21/8/2020,0
Johor,21/8/2020,0
Pahang,21/8/2020,0
Terengganu,21/8/2020,0
Kelantan,21/8/2020,0
Sabah,21/8/2020,0
Sarawak,21/8/2020,1
Kuala Lumpur,21/8/2020,3
Putrajaya,21/8/2020,0
Labuan,21/8/2020,0
Perlis,22/8/2020,0
Kedah,22/8/2020,5
Pulau Pinang,22/8/2020,0
Perak,22/8/2020,0
Selangor,22/8/2020,0
Negeri Sembilan,22/8/2020,0
Melaka,22/8/2020,0
Johor,22/8/2020,0
Pahang,22/8/2020,0
Terengganu,22/8/2020,0
Kelantan,22/8/2020,0
Sabah,22/8/2020,1
Sarawak,22/8/2020,1
Kuala Lumpur,22/8/2020,1
Putrajaya,22/8/2020,0
Labuan,22/8/2020,0
Perlis,23/8/2020,0
Kedah,23/8/2020,2
Pulau Pinang,23/8/2020,0
Perak,23/8/2020,0
Selangor,23/8/2020,2
Negeri Sembilan,23/8/2020,0
Melaka,23/8/2020,0
Johor,23/8/2020,0
Pahang,23/8/2020,0
Terengganu,23/8/2020,0
Kelantan,23/8/2020,0
Sabah,23/8/2020,0
Sarawak,23/8/2020,3
Kuala Lumpur,23/8/2020,3
Putrajaya,23/8/2020,0
Labuan,23/8/2020,0
Perlis,24/8/2020,0
Kedah,24/8/2020,0
Pulau Pinang,24/8/2020,0
Perak,24/8/2020,0
Selangor,24/8/2020,0
Negeri Sembilan,24/8/2020,0
Melaka,24/8/2020,0
Johor,24/8/2020,0
Pahang,24/8/2020,0
Terengganu,24/8/2020,0
Kelantan,24/8/2020,0
Sabah,24/8/2020,0
Sarawak,24/8/2020,5
Kuala Lumpur,24/8/2020,2
Putrajaya,24/8/2020,0
Labuan,24/8/2020,0
Perlis,25/8/2020,1
Kedah,25/8/2020,7
Pulau Pinang,25/8/2020,0
Perak,25/8/2020,0
Selangor,25/8/2020,3
Negeri Sembilan,25/8/2020,0
Melaka,25/8/2020,0
Johor,25/8/2020,0
Pahang,25/8/2020,0
Terengganu,25/8/2020,0
Kelantan,25/8/2020,0
Sabah,25/8/2020,0
Sarawak,25/8/2020,0
Kuala Lumpur,25/8/2020,0
Putrajaya,25/8/2020,0
Labuan,25/8/2020,0
Perlis,26/8/2020,0
Kedah,26/8/2020,5
Pulau Pinang,26/8/2020,0
Perak,26/8/2020,0
Selangor,26/8/2020,1
Negeri Sembilan,26/8/2020,0
Melaka,26/8/2020,0
Johor,26/8/2020,0
Pahang,26/8/2020,0
Terengganu,26/8/2020,0
Kelantan,26/8/2020,0
Sabah,26/8/2020,0
Sarawak,26/8/2020,0
Kuala Lumpur,26/8/2020,0
Putrajaya,26/8/2020,0
Labuan,26/8/2020,0
Perlis,27/8/2020,0
Kedah,27/8/2020,0
Pulau Pinang,27/8/2020,0
Perak,27/8/2020,0
Selangor,27/8/2020,2
Negeri Sembilan,27/8/2020,0
Melaka,27/8/2020,3
Johor,27/8/2020,0
Pahang,27/8/2020,0
Terengganu,27/8/2020,0
Kelantan,27/8/2020,0
Sabah,27/8/2020,0
Sarawak,27/8/2020,0
Kuala Lumpur,27/8/2020,0
Putrajaya,27/8/2020,0
Labuan,27/8/2020,0
Perlis,28/8/2020,1
Kedah,28/8/2020,0
Pulau Pinang,28/8/2020,0
Perak,28/8/2020,3
Selangor,28/8/2020,0
Negeri Sembilan,28/8/2020,0
Melaka,28/8/2020,0
Johor,28/8/2020,0
Pahang,28/8/2020,0
Terengganu,28/8/2020,0
Kelantan,28/8/2020,0
Sabah,28/8/2020,0
Sarawak,28/8/2020,1
Kuala Lumpur,28/8/2020,5
Putrajaya,28/8/2020,0
Labuan,28/8/2020,0
Perlis,29/8/2020,0
Kedah,29/8/2020,0
Pulau Pinang,29/8/2020,0
Perak,29/8/2020,0
Selangor,29/8/2020,2
Negeri Sembilan,29/8/2020,0
Melaka,29/8/2020,0
Johor,29/8/2020,0
Pahang,29/8/2020,0
Terengganu,29/8/2020,0
Kelantan,29/8/2020,0
Sabah,29/8/2020,0
Sarawak,29/8/2020,1
Kuala Lumpur,29/8/2020,8
Putrajaya,29/8/2020,0
Labuan,29/8/2020,0
Perlis,30/8/2020,0
Kedah,30/8/2020,1
Pulau Pinang,30/8/2020,0
Perak,30/8/2020,0
Selangor,30/8/2020,1
Negeri Sembilan,30/8/2020,0
Melaka,30/8/2020,0
Johor,30/8/2020,0
Pahang,30/8/2020,0
Terengganu,30/8/2020,0
Kelantan,30/8/2020,0
Sabah,30/8/2020,0
Sarawak,30/8/2020,1
Kuala Lumpur,30/8/2020,14
Putrajaya,30/8/2020,0
Labuan,30/8/2020,0
Perlis,31/8/2020,0
Kedah,31/8/2020,2
Pulau Pinang,31/8/2020,0
Perak,31/8/2020,0
Selangor,31/8/2020,4
Negeri Sembilan,31/8/2020,0
Melaka,31/8/2020,0
Johor,31/8/2020,0
Pahang,31/8/2020,0
Terengganu,31/8/2020,0
Kelantan,31/8/2020,0
Sabah,31/8/2020,0
Sarawak,31/8/2020,0
Kuala Lumpur,31/8/2020,0
Putrajaya,31/8/2020,0
Labuan,31/8/2020,0
Perlis,1/9/2020,0
Kedah,1/9/2020,2
Pulau Pinang,1/9/2020,0
Perak,1/9/2020,0
Selangor,1/9/2020,3
Negeri Sembilan,1/9/2020,0
Melaka,1/9/2020,0
Johor,1/9/2020,0
Pahang,1/9/2020,0
Terengganu,1/9/2020,0
Kelantan,1/9/2020,0
Sabah,1/9/2020,9
Sarawak,1/9/2020,0
Kuala Lumpur,1/9/2020,0
Putrajaya,1/9/2020,0
Labuan,1/9/2020,0
Perlis,2/9/2020,0
Kedah,2/9/2020,0
Pulau Pinang,2/9/2020,0
Perak,2/9/2020,0
Selangor,2/9/2020,1
Negeri Sembilan,2/9/2020,0
Melaka,2/9/2020,0
Johor,2/9/2020,0
Pahang,2/9/2020,1
Terengganu,2/9/2020,0
Kelantan,2/9/2020,0
Sabah,2/9/2020,0
Sarawak,2/9/2020,0
Kuala Lumpur,2/9/2020,4
Putrajaya,2/9/2020,0
Labuan,2/9/2020,0
Perlis,3/9/2020,0
Kedah,3/9/2020,4
Pulau Pinang,3/9/2020,0
Perak,3/9/2020,0
Selangor,3/9/2020,0
Negeri Sembilan,3/9/2020,2
Melaka,3/9/2020,0
Johor,3/9/2020,1
Pahang,3/9/2020,0
Terengganu,3/9/2020,0
Kelantan,3/9/2020,0
Sabah,3/9/2020,6
Sarawak,3/9/2020,0
Kuala Lumpur,3/9/2020,1
Putrajaya,3/9/2020,0
Labuan,3/9/2020,0
Perlis,4/9/2020,0
Kedah,4/9/2020,1
Pulau Pinang,4/9/2020,0
Perak,4/9/2020,0
Selangor,4/9/2020,2
Negeri Sembilan,4/9/2020,1
Melaka,4/9/2020,0
Johor,4/9/2020,0
Pahang,4/9/2020,0
Terengganu,4/9/2020,0
Kelantan,4/9/2020,0
Sabah,4/9/2020,0
Sarawak,4/9/2020,0
Kuala Lumpur,4/9/2020,7
Putrajaya,4/9/2020,0
Labuan,4/9/2020,0
Perlis,5/9/2020,0
Kedah,5/9/2020,1
Pulau Pinang,5/9/2020,0
Perak,5/9/2020,0
Selangor,5/9/2020,0
Negeri Sembilan,5/9/2020,0
Melaka,5/9/2020,0
Johor,5/9/2020,0
Pahang,5/9/2020,0
Terengganu,5/9/2020,0
Kelantan,5/9/2020,0
Sabah,5/9/2020,1
Sarawak,5/9/2020,0
Kuala Lumpur,5/9/2020,4
Putrajaya,5/9/2020,0
Labuan,5/9/2020,0
Perlis,6/9/2020,0
Kedah,6/9/2020,0
Pulau Pinang,6/9/2020,1
Perak,6/9/2020,0
Selangor,6/9/2020,0
Negeri Sembilan,6/9/2020,0
Melaka,6/9/2020,0
Johor,6/9/2020,0
Pahang,6/9/2020,0
Terengganu,6/9/2020,0
Kelantan,6/9/2020,0
Sabah,6/9/2020,2
Sarawak,6/9/2020,0
Kuala Lumpur,6/9/2020,3
Putrajaya,6/9/2020,0
Labuan,6/9/2020,0
Perlis,7/9/2020,0
Kedah,7/9/2020,4
Pulau Pinang,7/9/2020,1
Perak,7/9/2020,0
Selangor,7/9/2020,2
Negeri Sembilan,7/9/2020,0
Melaka,7/9/2020,0
Johor,7/9/2020,0
Pahang,7/9/2020,0
Terengganu,7/9/2020,0
Kelantan,7/9/2020,0
Sabah,7/9/2020,51
Sarawak,7/9/2020,0
Kuala Lumpur,7/9/2020,4
Putrajaya,7/9/2020,0
Labuan,7/9/2020,0
Perlis,8/9/2020,1
Kedah,8/9/2020,22
Pulau Pinang,8/9/2020,0
Perak,8/9/2020,0
Selangor,8/9/2020,9
Negeri Sembilan,8/9/2020,1
Melaka,8/9/2020,0
Johor,8/9/2020,0
Pahang,8/9/2020,0
Terengganu,8/9/2020,0
Kelantan,8/9/2020,0
Sabah,8/9/2020,62
Sarawak,8/9/2020,0
Kuala Lumpur,8/9/2020,5
Putrajaya,8/9/2020,0
Labuan,8/9/2020,0
Perlis,9/9/2020,0
Kedah,9/9/2020,16
Pulau Pinang,9/9/2020,0
Perak,9/9/2020,0
Selangor,9/9/2020,1
Negeri Sembilan,9/9/2020,1
Melaka,9/9/2020,0
Johor,9/9/2020,0
Pahang,9/9/2020,0
Terengganu,9/9/2020,0
Kelantan,9/9/2020,0
Sabah,9/9/2020,4
