State,Date,NumberofConfirmedCases
Selangor,7/4/2020,50
Negeri Sembilan,7/4/2020,22
Melaka,7/4/2020,4
Johor,7/4/2020,10
Pahang,7/4/2020,5
Terengganu,7/4/2020,0
Kelantan,7/4/2020,5
Sabah,7/4/2020,1
Sarawak,7/4/2020,15
Kuala Lumpur,7/4/2020,31
Putrajaya,7/4/2020,2
Labuan,7/4/2020,1
Perlis,8/4/2020,0
Kedah,8/4/2020,1
Pulau Pinang,8/4/2020,6
Perak,8/4/2020,4
Selangor,8/4/2020,58
Negeri Sembilan,8/4/2020,9
Melaka,8/4/2020,13
Johor,8/4/2020,18
Pahang,8/4/2020,3
Terengganu,8/4/2020,3
Kelantan,8/4/2020,0
Sabah,8/4/2020,7
Sarawak,8/4/2020,18
Kuala Lumpur,8/4/2020,14
Putrajaya,8/4/2020,2
Labuan,8/4/2020,0
Perlis,9/4/2020,0
Kedah,9/4/2020,2
Pulau Pinang,9/4/2020,0
Perak,9/4/2020,4
Selangor,9/4/2020,40
Negeri Sembilan,9/4/2020,11
Melaka,9/4/2020,3
Johor,9/4/2020,7
Pahang,9/4/2020,14
Terengganu,9/4/2020,5
Kelantan,9/4/2020,1
Sabah,9/4/2020,0
Sarawak,9/4/2020,6
Kuala Lumpur,9/4/2020,14
Putrajaya,9/4/2020,2
Labuan,9/4/2020,0
Perlis,10/4/2020,0
Kedah,10/4/2020,0
Pulau Pinang,10/4/2020,1
Perak,10/4/2020,1
Selangor,10/4/2020,30
Negeri Sembilan,10/4/2020,11
Melaka,10/4/2020,14
Johor,10/4/2020,20
Pahang,10/4/2020,4
Terengganu,10/4/2020,3
Kelantan,10/4/2020,1
Sabah,10/4/2020,2
Sarawak,10/4/2020,15
Kuala Lumpur,10/4/2020,14
Putrajaya,10/4/2020,2
Labuan,10/4/2020,0
Perlis,11/4/2020,0
Kedah,11/4/2020,0
Pulau Pinang,11/4/2020,5
Perak,11/4/2020,1
Selangor,11/4/2020,35
Negeri Sembilan,11/4/2020,17
Melaka,11/4/2020,8
Johor,11/4/2020,21
Pahang,11/4/2020,27
Terengganu,11/4/2020,1
Kelantan,11/4/2020,2
Sabah,11/4/2020,10
Sarawak,11/4/2020,7
Kuala Lumpur,11/4/2020,46
Putrajaya,11/4/2020,2
Labuan,11/4/2020,2
Perlis,12/4/2020,0
Kedah,12/4/2020,0
Pulau Pinang,12/4/2020,2
Perak,12/4/2020,1
Selangor,12/4/2020,53
Negeri Sembilan,12/4/2020,9
Melaka,12/4/2020,3
Johor,12/4/2020,14
Pahang,12/4/2020,11
Terengganu,12/4/2020,0
Kelantan,12/4/2020,1
Sabah,12/4/2020,6
Sarawak,12/4/2020,8
Kuala Lumpur,12/4/2020,44
Putrajaya,12/4/2020,1
Labuan,12/4/2020,0
Perlis,13/4/2020,0
Kedah,13/4/2020,0
Pulau Pinang,13/4/2020,0
Perak,13/4/2020,3
Selangor,13/4/2020,13
Negeri Sembilan,13/4/2020,42
Melaka,13/4/2020,0
Johor,13/4/2020,21
Pahang,13/4/2020,0
Terengganu,13/4/2020,4
Kelantan,13/4/2020,2
Sabah,13/4/2020,14
Sarawak,13/4/2020,6
Kuala Lumpur,13/4/2020,27
Putrajaya,13/4/2020,2
Labuan,13/4/2020,0
Perlis,14/4/2020,1
Kedah,14/4/2020,0
Pulau Pinang,14/4/2020,3
Perak,14/4/2020,3
Selangor,14/4/2020,50
Negeri Sembilan,14/4/2020,2
Melaka,14/4/2020,3
Johor,14/4/2020,8
Pahang,14/4/2020,11
Terengganu,14/4/2020,0
Kelantan,14/4/2020,0
Sabah,14/4/2020,5
Sarawak,14/4/2020,15
Kuala Lumpur,14/4/2020,69
Putrajaya,14/4/2020,0
Labuan,14/4/2020,0
Perlis,15/4/2020,0
Kedah,15/4/2020,1
Pulau Pinang,15/4/2020,0
Perak,15/4/2020,0
Selangor,15/4/2020,17
Negeri Sembilan,15/4/2020,1
Melaka,15/4/2020,0
Johor,15/4/2020,14
Pahang,15/4/2020,17
Terengganu,15/4/2020,0
Kelantan,15/4/2020,0
Sabah,15/4/2020,0
Sarawak,15/4/2020,8
Kuala Lumpur,15/4/2020,27
Putrajaya,15/4/2020,0
Labuan,15/4/2020,0
Perlis,16/4/2020,0
Kedah,16/4/2020,0
Pulau Pinang,16/4/2020,0
Perak,16/4/2020,1
Selangor,16/4/2020,13
Negeri Sembilan,16/4/2020,26
Melaka,16/4/2020,0
Johor,16/4/2020,13
Pahang,16/4/2020,8
Terengganu,16/4/2020,2
Kelantan,16/4/2020,1
Sabah,16/4/2020,3
Sarawak,16/4/2020,16
Kuala Lumpur,16/4/2020,26
Putrajaya,16/4/2020,1
Labuan,16/4/2020,0
Perlis,17/4/2020,0
Kedah,17/4/2020,0
Pulau Pinang,17/4/2020,0
Perak,17/4/2020,1
Selangor,17/4/2020,9
Negeri Sembilan,17/4/2020,13
Melaka,17/4/2020,1
Johor,17/4/2020,9
Pahang,17/4/2020,1
Terengganu,17/4/2020,9
Kelantan,17/4/2020,9
Sabah,17/4/2020,5
Sarawak,17/4/2020,19
Kuala Lumpur,17/4/2020,18
Putrajaya,17/4/2020,9
Labuan,17/4/2020,1
Perlis,18/4/2020,0
Kedah,18/4/2020,0
Pulau Pinang,18/4/2020,0
Perak,18/4/2020,0
Selangor,18/4/2020,2
Negeri Sembilan,18/4/2020,3
Melaka,18/4/2020,0
Johor,18/4/2020,16
Pahang,18/4/2020,2
Terengganu,18/4/2020,1
Kelantan,18/4/2020,0
Sabah,18/4/2020,10
Sarawak,18/4/2020,6
Kuala Lumpur,18/4/2020,14
Putrajaya,18/4/2020,0
Labuan,18/4/2020,0
Perlis,19/4/2020,0
Kedah,19/4/2020,0
Pulau Pinang,19/4/2020,0
Perak,19/4/2020,0
Selangor,19/4/2020,3
Negeri Sembilan,19/4/2020,0
Melaka,19/4/2020,37
Johor,19/4/2020,3
Pahang,19/4/2020,5
Terengganu,19/4/2020,0
Kelantan,19/4/2020,0
Sabah,19/4/2020,3
Sarawak,19/4/2020,5
